,text,likes,retweets,city,sentiment_analysis,url
0,@louieponto #clexa 🖤 https://t.co/Y2avJbcHZB,0,0,Leipzig,0.0,https://t.co/Y2avJbcHZB
1,#nowplaying #Sheppard ~ Sheppard | Geronimo ||| BB RADIO - In #Cottbus #Brandenburg #GER on 107.2,0,0,Potsdam,0.0,
2,"You can find this & many more interviews with inspiring #womeninscience 👩🏻‍💻👩🏼‍🔬👩🏾‍🏫👩🏻‍🎓 about their career path, challenges, & successes on my blog. Enjoy! 🥳 https://t.co/bPAnkuTfE5 https://t.co/7f9ZOG2W7n",0,1,Jena,0.8874,https://t.co/bPAnkuTfE5
3,"@MMdel2 Good morning girl, have a nice day.",0,0,Straelen,0.6908,
4,@JMB91559090 Good morning JMB and have a nice day to you. ☀️☕,0,0,Düsseldorf,0.6908,
5,@satyaran_ Ye wali flying kiss ? https://t.co/hjx3avQL4h,0,0,Freiberg,0.4215,https://t.co/hjx3avQL4h
6,@lobbybach @BMG_Bund Awesome!,0,0,Berlin,0.6588,
7,Good morning from Stuttgart,0,0,Stuttgart,0.4404,
8,The Charité mulberries are now ripe and delicious 😊 https://t.co/BBkmk8vlH7,0,0,Berlin,0.5719,https://t.co/BBkmk8vlH7
9,@BVB09News Otto Addo 👍,0,0,Wuppertal,0.0,
10,atsatyaran_ exactly 3,1,0,Freiberg,0.0,
11,@ParsProToto9 Thank you 😘,0,0,Straelen,0.3612,
12,@jreichelt The FDP is currently losing all of its credibility due to a lack of expertise and inexhaustible exertions of power to undermine their base on fatal ideologies from American division ideologies in the abuse of freedom.,0,0,Haiger,-0.8625,
13,"@DemiurgDer @dogthebot They are researching the ultraspeed warp drive..
Faster to the #Soz office and #outdoor pool at the speed of light...",0,0,Frankfurt (Oder),0.0,
14,"@Larsemann My ""Cologne body"" could no longer survive such a number! #refinedfood",0,0,Cologne,-0.2942,
15,@BVB09News Good morning 💛🖤,0,0,Wuppertal,0.4404,
16,Just posted a photo @ Rune Store Düsseldorf https://t.co/7grkMP8V3s,0,0,Düsseldorf,0.0,https://t.co/7grkMP8V3s
17,@ChrisBrey1 Good morning Chris 🙋‍♂️🥨☕,0,0,Prien am Chiemsee,0.4404,
18,"@ Krawallnudel13 Moin moin, is actually still there. I definitely see him. have a nice day LG",0,0,Hamburg,0.6705,
19,@BarbiFernandez ❤️,0,0,Frankfurt on the Main,0.0,
20,"@Dave4Square Morning Dave! I demand a picture! 😬😂 my twink friend. Hope you had a good Tuesday, I’m starting my Wednesday now 😘 https://t.co/HpYqTU0w5A",1,0,Berlin,0.8436,https://t.co/HpYqTU0w5A
21,@TischTiger Good morning my dear 😇,0,0,Magdeburg,0.6705,
22,@Mutterdrachen_B Good morning Marion 😀👋🌞🌞🌞☕☕☕,0,0,Berlin,0.4404,
23,@I_am_Vyvyan Good morning Vyvyan 😍🌺🌺🌺❤️ Get through today's Wednesday with only good feelings ❤️😃👍 But first one more ☕️☕️☕️,0,0,Stendal,0.7003,
24,@hoodedharlequin Haha🤐,0,0,Berlin,0.0,
25,#nowplaying #Alesso #KatyPerry ~ Alesso & Katy Perry | When I'm Gone ||| BB RADIO - In #Berlin #GER auf 107.5,0,0,Potsdam,0.0,
26,@vonNordenher Yes. no,0,0,Freyburg (Unstrut),0.128,
27,"Good Morning #NateNerds ! 

Human 

Kind

... be both

Happy Wednesday everyone. 🍀💕🕊️
#NathanFillion #TheRookie #memories #Castle #Firefly 
@Chrissychatt @castle_all @AnetteRuff1 @APRN1119 @60Ritschi @KerstinDrefs @roxy_alexs @homenor56 @MononenMinna https://t.co/pJjKXfVRRz",0,0,Hanover,0.8832,https://t.co/pJjKXfVRRz
28,"You can also find some formats on YouTube from ÖRR. For example MrWissentoGo, WDR-Doku etc. ÖRR is not only ARD & ZDF.",0,0,Wuppertal,0.0,
29,"I also think that the ÖRR should be improved, but it shouldn't be abolished. There are also good channels such as Arte, 3Sat & Phönix.",0,0,Wuppertal,0.7096,
30,@PhillipGoik @NNerdistan Yes. :),0,0,Cuxhaven,0.6908,
