,text,likes,retweets,city,sentiment_analysis,url
0,Lunch ~ ② https://t.co/rZY9Kj0ycl,0,0,ムーミンベーカリー&カフェ,0.0,https://t.co/rZY9Kj0ycl
1,"@ Fuji_IS250 Touring!
I see!
I hope it conveys the meaning. Straw",0,0,Aoba-ku,0.5399,
2,"Naval battle game for smartphone apps
Battle of Warships
It's been a year for the first time?
Finally I got the battleship Yamato
Without paying for it ...
Although it is the first team, one ship is sunk!
If you do it steadily
You will definitely get a premier ship. Https://t.co/LZnfNyR5cH",0,0,Kota-cho,-0.5255,
3,"@ Toro70ja I understand that feeling 💦

In a sense, I really think that I live in a blessed environment (in many ways) 💦
Good luck 💦
It's not a proper word 💦",0,0,Nerima-ku,0.8834,
4,"It's NO overtime DAY, so I went home and made a movie. Since it was a service day, I saw two in a row. Both were good. Jiggy Stardust wanted to see it more roaring. Location: Shimotakaido Cinema https://t.co/J0kEGEyJI0",0,0,Setagaya-ku,-0.0085,https://t.co/J0kEGEyJI0
5,@Shimakichipyon Please forgive me. Dislike 😔,0,0,Matsumoto-shi,0.2023,
6,"Makasih yaaa buat siapapun yang udah ngirim ini. I honestly don’t think I deserve this. (Also don’t think anyone should see me as a role model, I’m too ordinary to be one 🥲) https://t.co/U1ZVev3q8c",0,0,Higashimurayama-shi,0.4588,https://t.co/U1ZVev3q8c
7,logged out.,0,0,Chiyoda-ku,0.0,
8,"@ kajurin111 Zue-chan,
It's been a long time ✨

Congratulations ✨

to you too
Thank you 🤲",0,0,Sabae-shi,0.7506,
9,"@ l5Id3qiZZtb3rXO Thank you 🎀

Don't hesitate, please do a lot 💋www🌠 https://t.co/itS8b90pv3",0,0,Kawagoe-shi,0.3296,https://t.co/itS8b90pv3
10,"I can't sleep 🥺
It turns out that I can't sleep unless I sleep when I'm sleepy lol",0,0,Fukuroi-shi,0.4215,
11,@ MOKAO27863787 @bbbj That's ridiculous. I think it's a big problem 🔥,0,0,Ota-ku,-0.6369,
12,"Is it a little easier to spend tonight 😀
#Musashi Koyama",0,0,Shinagawa-ku,0.3626,
13,@pilina_mahalo Oso! 🤣,0,0,Suita-shi,0.0,
14,Pre-download helps https://t.co/t9r2OIKdtF,0,0,Niihama-shi,0.3818,https://t.co/t9r2OIKdtF
15,"Ticket purchase for 7/9 Kobe match is complete.
#Jubilo Iwata",0,0,Shizuoka-ken,0.0,
16,"After all it is necessary. This person is 😊.
It will be a rewinding detonator.
I was disappointed with the result today.
● F 2-5 L ○

#Kensuke Kondo
#lovefighters
#From Doshin Sports
https://t.co/hJhvCGCyOm",0,0,Kawasaki City Kawasaki Ward,-0.4767,https://t.co/hJhvCGCyOm
17,"Kaiya-kun, it looks like it's on TV 😻 https://t.co/Pg7v667acF",0,0,Amagasaki-shi,0.3612,https://t.co/Pg7v667acF
18,"@ tyoi28 Hahahaha.

Go to bed early. Tell me when you can't sleep.",0,0,Hanamaki-shi,0.0,
19,"Let's eat
#Yakult 1000 https://t.co/L20Cozojs1",0,0,Hachioji-shi,0.0,https://t.co/L20Cozojs1
20,@ 28ym1m2 I think there is ꉂ🤣𐤔 https://t.co/UD0lCUYrAZ,0,0,Miyagi-ken,0.0,https://t.co/UD0lCUYrAZ
21,https://t.co/0s9fhJKEbD,0,0,Komae-shi,0.0,https://t.co/0s9fhJKEbD
22,"@ wB8sRKOjmGws2yr I've lived for 10 years since I was 18 years old, but I just spent the process of becoming an adult in Kyoto.
I was blessed with very good people at that time, and I am still dating, so I am glad that I am now 🤗
It's my second home 💕",0,0,Tsuyama-shi,0.9438,
23,"@mine_machiben @ToyotaEiji Let's drink!
Thank you 🍻",0,0,Funabashi-shi,0.4199,
24,"Is there anyone in Akarin's fan club? 🙋‍♀️🙋‍♀️🙋‍♀️
 #Akari Kito",0,0,Kawagoe-shi,0.3182,
25,"And tomorrow is Matsumoto.
Only once a day.
I will entertain you ❤ https://t.co/6LY3X84k0j",0,0,Omachi-shi,0.3182,https://t.co/6LY3X84k0j
26,@ vip56230274 beautiful,0,0,Sanuki-shi,0.5994,
27,I wonder what a fixed friend is www,2,0,Kawaguchi-shi,0.4939,
28,"After collecting 7 stars with @wafter_key 3, the data disappears,
It's a good memory that the duo of 4 was so strong that I lost many times and revenged many times. smile",0,0,Oji-cho,0.5828,
29,"It's exactly this, and in words, self-satisfaction and self-satisfaction actually hang on to others (although there is a difference between direct and indirect). I wish I could leave it alone.",0,0,Sano-shi,0.128,
30,What should I do tomorrow ... Jim Battle or withdrawal,0,0,Fuchu-shi,-0.3612,
31,"@ kotuharu0328 Thank you for your voice!
If you like me, thank you 🙏",0,0,Urayasu-shi,0.7777,
32,"There weren't many customers today, probably because of the heat, and I closed the store on the way.
Books with slips didn't sell, so tomorrow.
(It's going to be a terrible heat tomorrow. Be careful not to fall down!)",0,0,Kofu-shi,-0.4199,
33,Take-san's claim is too strong and it's an extra tactic (• ̅_ • ̅) (laughs) https://t.co/ntpUgFuIFs,0,0,Katsushika-ku,0.5106,https://t.co/ntpUgFuIFs
34,@yurayura_yuraa Welcome back!,0,0,Omaezaki-shi,0.5093,
35,"Celebration graduation
# Hinatazaka46
#Hinakoi
#Thanks to Miho Watanabe https://t.co/X0JKgOeRgO",0,0,Funabashi-shi,0.0,https://t.co/X0JKgOeRgO
36,"The House of Councilors election is underway,
We asked questions on the agenda on the public announcement day on June 22, and on June 23, we asked the 15th consecutive general question since the first election.

Thank you for taking up Matsusaka Kahada Eleven in the newspaper.

#Matsusaka City
#Iitaka Town
#Climbing https://t.co/LiLYC5BNUz",0,0,松阪市役所,0.3612,https://t.co/LiLYC5BNUz
37,You should stop applying online every day,0,0,Asahikawa-shi,-0.296,
38,"@onikidon It's not the case when you are giving out energy saving points! As might be expected
Next election for the Liberal Democratic Party
I can't vote!",0,0,Otsu-shi,0.7772,
39,"@ okookoyoko1101 @purple_airlines no longer
What are you saying
I don't know 🤣🤣🤣
Benyu 😅😅😅😅
Will the mistake change again? 🙄🙄🙄🙄😫😫😫",0,0,Nara-shi,-0.5574,
40,"Everyone praises Mipan, who has the best spirit and can provide a complete package by wearing a broth on the radio.

 #Miho Watanabe Graduation Ceremony",0,0,Chiyoda-ku,0.8519,
41,"The night sky of Sanpei during training, the celestial dome, and the star-viewing platform with the sliding roof opened.
Mr. Sahimeru, Shimane Prefectural Sampei Nature Museum, which opened at about the same time as the hotel. I have a good telescope.
Learn a lot about how to watch and take it home.
# JAPOS2022 #Explanatory training #Summer Triangle #Chihaya Museum of Stars and Nature https://t.co/KPi0flfFfA",0,0,Onomichi-shi,0.4404,https://t.co/KPi0flfFfA
42,"2022/06/28
I'm a human who looks pale. I wonder if the background of the political broadcast can't be changed.
#Political broadcast",0,0,Kanazawa-shi,0.0,
43,"The tank top made of the material I bought last year wasn't sold to GU, so it seemed to be sharp. yes.",0,0,Numazu-shi,0.5423,
44,"With the release of Yurucamp movie this weekend, I bought cup noodles at Lawson and secured two original mini-notebooks. The original product wasn't sold to Lawson here, but I wonder if it's already sold out ... #Yurucamp https://t.co/6xnDiAW9aF",0,0,Meguro-ku,0.4854,https://t.co/6xnDiAW9aF
45,@MiriruGourmet It's the beginning of Kaimei! Where there is Kanesue nearby! (smile),1,0,Ichinomiya-shi,0.0,
46,@ 3621yyy @DichaAutomotriz Wow! w,0,0,Kita-ku,0.6239,
47,"@ yukari10896758 @ dKJNW22Utm44MKy
Near the Seto Inland Sea",0,0,Naha-shi,0.0,
48,"@lovely_kankan I forgot a lot 😖

But Hiroko's smile is ""forever"" ❤️",0,0,Morioka-shi,0.3612,
49,"@ WoQgk7jsz0WQbea It depends on the tour company.
By the way, the tour has a high image, but is the hotel good or the price setting reasonable?",0,0,Kumakogen-cho,0.5927,
50,"It is the first time to use dom as a label on social media, and I think it is very good",0,0,Nerima-ku,0.4927,
51,Sometimes I wonder what kind of life can calm my mind,0,0,Kamakura-shi,0.3182,
52,@MIKU_BsGirls Miku 🍉💛 Thank you for your hard work. Good night 🌠☺️,0,0,Ibaraki-shi,0.6124,
53,@ vip56230274 cute,0,0,Sanuki-shi,0.4588,
54,"@ NiigataTK421 Congratulations ㊗️
It's a good callsign that is hard to make a mistake 👌",0,0,Nagoya City Nishi Ward,0.6124,
55,"From there, I got in touch with each other and deepened my friendship at once.
When Tanz performed live in Tokyo, he often went there.",0,0,Sakawa-cho,0.4404,
56,@tadashishimizu @WcEoMxZUYiVQ0xy @ootaatushi Extreme heat. Eat stamina food and sleep as much as possible.,0,0,Daito-shi,0.296,
57,"@ 10uzIVMve5w5oEQ Thank you 🙏
I'm an insect bite, but w",0,0,0saki-shi,0.1901,
58,@ kyry0716 @bankinjyutu I'm peeing,0,0,Ninohe-shi,0.0,
59,"Mr. Oba ……… Excuse me.
🙏🙋‍♂️👌🙆‍♂️🙇🏼‍♂️‼ ️
Are you a giant fan 🤔⁇",0,0,Edogawa-ku,0.3818,
60,"I bought it because it was pretty good

[Hina Matsuri]
https://t.co/KksKeM4UTV",0,0,Naha-shi,0.7269,https://t.co/KksKeM4UTV
61,"#Summer soymilk king deciding match! This summer, #Puru Puru Soymilk Pudding 🍮 A gorgeous gift for 250 people by lottery 🎁 Follow @kikkoman_tounyu and vote for the soymilk arrangement you want to enjoy 🗳️ #Kikkoman Soymilk #Soymilk Pudding",0,0,Komoro-shi,0.8932,
62,"@azamiya_minsah Thank you for your retweet.
I feel like I'm wearing Ishigaki Island even if I'm in Hokkaido.",0,0,Eniwa-shi,0.6124,
63,"@yoshimi_ZZG Eh !? ۳ (̥O▵O ̥) !! That's right ⁉️
I didn't notice at all 💦💦
If you were banned, you would get a notification from the management 😨?
Did you write such a strange thing (ㆆ▿ㆆ)?
I came after 9 o'clock in the first place, but it was normal (. ・ Ω ・?)",0,0,Daisen-shi,-0.6412,
64,"It was late to notice 🥺
I'm completely self-sufficient because I'm already separated. .. ..",0,0,Kurume-shi,0.0,
65,"The predecessor Nyan was cute.

That child also came up without permission. ..",0,0,Hiroshima-shi Naka,0.4588,
66,@K_TSURIBAKA_FC I also want an aventa ~ 😍,0,0,Ibaraki-machi,0.0772,
67,@fatmankuroda Kuro-chan is using Stella ...?,0,0,Ichikawa-shi,0.0,
68,"@ FfRdVHZAibAgh8U Certainly
We are humans",0,0,Sakyo-ku,0.34,
69,"@ModelHgs Thank you!
The 16 valve of FF has a low market value, but I personally like it the most ^ _ ^",0,0,Toyama-shi,0.7723,
70,"@DORAYAKI_nanana Thank you Nana ♡
Thank you for listening in the first place ♡",1,0,Obihiro-shi,0.6124,
71,@kazu8_2525 ( ´•̥  ̫ •̥` ),0,0,Oshu-shi,0.0,
72,Maybe I should buy that hoodie.,0,0,Kawagoe-shi,0.0,
