,text,likes,retweets,city,sentiment_analysis,url
0,@GoLemiot_Brat Building permit 6th month 2021 and then the mayor was Bogac 😉 do not slide like this,0,0,Former Yugoslav Republic of Macedonia,-0.2755,
1,Pozz to the crazy dude who said that Struga was not a beautiful city! .!. https://t.co/jPrZEy2LHj,0,0,Former Yugoslav Republic of Macedonia,-0.7294,https://t.co/jPrZEy2LHj
2,"@ isabela223305 You bother the man a lot, aman, leave him alone to finish his work c c c c ...
Uncultured!",1,0,Former Yugoslav Republic of Macedonia,-0.5983,
3,@HarbinAmetaj Decoration bins are not,1,0,Former Yugoslav Republic of Macedonia,0.0,
4,"Wisdom speaks, but Wisdom hears",0,0,Former Yugoslav Republic of Macedonia,0.7783,
5,"@andon_ru @ Shisharka_ @paulocollo But this is a mouthful 1965 with ""Skopje open city"".
Zelezara, Ohis, Staklara etc etc ...",1,0,Former Yugoslav Republic of Macedonia,0.0,
6,? https://t.co/tf11IQBIIa,0,0,Former Yugoslav Republic of Macedonia,0.0,https://t.co/tf11IQBIIa
7,@gio_sunn @ EricTheKingdom7 @SuisajdMesija @UnitedStandMUFC @DiscoMirror @MullockSMirror @ Lazovski11 And what do we have left? 🤣🤣🤣,2,0,Former Yugoslav Republic of Macedonia,0.0,
8,"@ starlittle341 In any case, tourism will be better from 2020 and 2021, even though it closed again somewhere in the middle of August.",0,0,Former Yugoslav Republic of Macedonia,0.4404,
9,you wonder where your frustration is.,1,0,Former Yugoslav Republic of Macedonia,-0.4767,
10,"@crnmuskat Plankov ferry, 01:15:07",0,0,Former Yugoslav Republic of Macedonia,0.0,
11,"@Shisharka_ @andon_ru @paulokoljo So it's like the legend of the chicken and the egg.
What is the reason: eviction for suspicion in a certain place or vice versa?",1,0,Former Yugoslav Republic of Macedonia,-0.1832,
12,😁😁 https://t.co/FkjKKFHDgQ,7,3,Former Yugoslav Republic of Macedonia,0.0,https://t.co/FkjKKFHDgQ
13,"I think they did the survey at CHP headquarters. Let's gasp, visionless herd
https://t.co/4Nm17EwOVt",1,1,Former Yugoslav Republic of Macedonia,0.0,https://t.co/4Nm17EwOVt
14,@StevanoAna hybrid imposed system,0,0,Former Yugoslav Republic of Macedonia,-0.0772,
15,"@Aldrigmin Only Truth, in the true sense of the word 🙂",1,0,Former Yugoslav Republic of Macedonia,0.6249,
16,@ MilaShila9 ... I love you so much that ...,2,1,Former Yugoslav Republic of Macedonia,0.6369,
17,@ Santimo22052092 Premier League> Champions League and all the rest,0,0,Former Yugoslav Republic of Macedonia,0.5267,
18,@ Santimo22052092 Strange company vie,0,0,Former Yugoslav Republic of Macedonia,-0.2023,
19,"@ EricTheKingdom7 @SuisajdMesija @UnitedStandMUFC @DiscoMirror @MullockSMirror @ Lazovski11 So far as I see it - so be it.
I may be wrong, but they are completely correct for now.",2,0,Former Yugoslav Republic of Macedonia,-0.2617,
20,@ Santimo22052092 And who sees leagues other than the Premier League,0,0,Former Yugoslav Republic of Macedonia,0.0,
21,@Corner_43 @tome_corner @BMjosifovska ❤️❤️❤️,1,0,Former Yugoslav Republic of Macedonia,0.0,
22,"@ EricTheKingdom7 @SuisajdMesija @UnitedStandMUFC @DiscoMirror @MullockSMirror @ Lazovski11 Slowly.
The big picture is important.
Until now, everything was on the rush !!!!
Ten Hague does his thing, no matter, but slowly, smartly.
We had the conversation.",2,0,Former Yugoslav Republic of Macedonia,0.6449,
23,@ Corner_43 Kutar @tome_corner he kje r'mba for more with @BMjosifovska to walk along the known and unknown meridians🥰🥰🥰,1,0,Former Yugoslav Republic of Macedonia,0.0,
24,"Tipov is No. 1 for transfers in the Premier League, much more accurate and faster information from Fabrizio https://t.co/kSECpfcJB3",2,0,Former Yugoslav Republic of Macedonia,-0.296,https://t.co/kSECpfcJB3
25,"@atenttion_whore If Doctor, to drive in good health, I will wait, there is no pain 😊🙏",1,0,Former Yugoslav Republic of Macedonia,-0.3818,
26,Let's cool our sweetheart https://t.co/KVkdoHgmWn,2,0,Former Yugoslav Republic of Macedonia,0.765,https://t.co/KVkdoHgmWn
27,"@ EricTheKingdom7 @SuisajdMesija @UnitedStandMUFC @DiscoMirror @MullockSMirror @ Lazovski11 Are you aware that:
Frankie
Malaysia
Van de Beek
Martial is back again until when nz ...
Anthony will enter
After them, Eriksen at the end.
Listen to my word!",1,0,Former Yugoslav Republic of Macedonia,0.0,
28,the details make your life better,1,0,Former Yugoslav Republic of Macedonia,0.4404,
29,@avalsiniarku @ Fingerprint83 Unfortunately ours. It's a scumbag now.,0,0,Former Yugoslav Republic of Macedonia,-0.765,
30,🥂Cheers https://t.co/JkJn6yb8PB,2,0,Former Yugoslav Republic of Macedonia,0.0,https://t.co/JkJn6yb8PB
31,"@ EricTheKingdom7 @SuisajdMesija @UnitedStandMUFC @DiscoMirror @MullockSMirror @ Lazovski11 They will bring them, it does not escape, but with wisdom. Do not run away immediately because they are stars.
Their tactics are great!",1,0,Former Yugoslav Republic of Macedonia,0.9059,
32,@ fred_the_red1 Dosta hejtaš be 😂,0,0,Former Yugoslav Republic of Macedonia,0.0,
33,"@ GuSv01 @ blackplanet616 Bi-directional bike path in the middle of town e like that ... there are houses to visit on both sides of the road, in addition, the side must be changed to be kept on ... idiocy.",1,0,Former Yugoslav Republic of Macedonia,0.3612,
34,@SuisajdMesija @ EricTheKingdom7 @UnitedStandMUFC @DiscoMirror @MullockSMirror @ Lazovski11,1,0,Former Yugoslav Republic of Macedonia,0.0,
35,@atenttion_whore Ama so blu tut taka?,2,0,Former Yugoslav Republic of Macedonia,0.0,
36,"@atenttion_whore I will lose a little more weight there, thanks Doctor 🙏❤️",1,0,Former Yugoslav Republic of Macedonia,0.1189,
37,@ Vesna221091663 I think there are some crazy of us right now. With the ruling elite.,0,0,Former Yugoslav Republic of Macedonia,-0.34,
38,"@SuisajdMesija @ EricTheKingdom7 @UnitedStandMUFC @DiscoMirror @MullockSMirror @ Lazovski11 Everyone will take them that way, believe me.
They are not our idiots either, they will tactically price, and they should.
They did not just milk enough.",2,0,Former Yugoslav Republic of Macedonia,0.0,
39,Alexander the Great and his soldiers... #üsküpmeydanı https://t.co/TgcT0imNCN,1,0,Former Yugoslav Republic of Macedonia,0.6249,https://t.co/TgcT0imNCN
40,"@atenttion_whore If you buy a new one, count me for this one, you will make a guild price, you are a good person 🙏",1,0,Former Yugoslav Republic of Macedonia,0.4404,
41,@fred_the_red1 🤣🤣🤣,1,0,Former Yugoslav Republic of Macedonia,0.0,
42,"@atenttion_whore Skapo Doctor.
Is there something used?",1,0,Former Yugoslav Republic of Macedonia,0.0,
43,@David_Ornstein @TheAthleticUK @Mkdlionsmkd nothing from beer,0,0,Former Yugoslav Republic of Macedonia,0.0,
44,@ astorleo1 @ minjica80 They don't parade everyone else they live their lives and don't impose anything on others.,1,0,Former Yugoslav Republic of Macedonia,0.2235,
45,What a beautiful sea 👐 https://t.co/IhDBwo3Icz,5,0,Former Yugoslav Republic of Macedonia,0.5994,https://t.co/IhDBwo3Icz
46,"@atenttion_whore Doctor, how much money is such a helmet?
It looks dangerous 🔥",2,0,Former Yugoslav Republic of Macedonia,-0.4767,
47,"@m_cemilkilic In Akp power, there is a motto that if you believe, you are superior, not if you have MONEY, you are superior.",0,0,Former Yugoslav Republic of Macedonia,0.7906,
48,Dui have been a bit nervous lately https://t.co/TKfTRIy0Gb,4,0,Former Yugoslav Republic of Macedonia,-0.2732,https://t.co/TKfTRIy0Gb
49,@jingwellj 🫤 probably the 100💎 if i had,1,0,Former Yugoslav Republic of Macedonia,0.0,
50,@evrosimoski The mayor is known for dealing with illegal buildings.,0,0,Former Yugoslav Republic of Macedonia,-0.5574,
51,@jazhevce @Biktop16 @OpstinaKarpos @JStevco АПП,0,0,Former Yugoslav Republic of Macedonia,0.0,
52,"Auu Latas beat Zikov at the end, shut up 😂😂😂",9,4,Former Yugoslav Republic of Macedonia,0.0,
53,@ bejbiboy2 @ mara00914095 all your twitterers are your generation - from 1961 - 2001,2,1,Former Yugoslav Republic of Macedonia,0.0,
54,"I can stand on water 😄
@veve_official https://t.co/p9nSO5YqFt",13,1,Former Yugoslav Republic of Macedonia,0.0,https://t.co/p9nSO5YqFt
55,@Na_Majstorot @EdnaNenormalna Fucking is on your mind. I guess.,0,0,Former Yugoslav Republic of Macedonia,0.0,
56,What a rookie this Zikov is,0,0,Former Yugoslav Republic of Macedonia,0.0,
57,"@Carevata_Kerka Argkgrnh something, there is logic 😂😂😂😂",1,0,Former Yugoslav Republic of Macedonia,0.0,
58,"@ Sladur43 Yes, so still melted from the heat and in the car the floor mat was broken",1,0,Former Yugoslav Republic of Macedonia,-0.1027,
59,"@Na_Majstorot @EdnaNenormalna I do not understand your problem buddy, I am not an expert.",0,0,Former Yugoslav Republic of Macedonia,0.3089,
