,text,likes,retweets,city,sentiment_analysis,url
0,"Finnish flowers in memory of the victims of the Norwegian terrorist attack with my colleague Trygve Vedum. A completely reprehensible, terrible act against humanity and freedom. Love and dignity belong to everyone. # The message of joy in the pride week is a sorrow. That is why it is important right now: hatred is answered with love. https://t.co/ZzRNgRuSqT",217,12,Oslo,0.3008,https://t.co/ZzRNgRuSqT
1,The Nordic countries share common interests and positions in many areas. Minister of Foreign Affairs @AHuitfeldt hosts the Nordic Ministers of Foreign Affairs in Bodø today. https://t.co/DnzI2FuPcP,47,13,Bodø,0.4939,https://t.co/DnzI2FuPcP
2,"Captain throws sand bucket and has to clean up after himself. A saga in four acts.

Photo: Marius Simensen, Bildbyrån. https://t.co/6zGBApzasL",324,13,Mons,0.4019,https://t.co/6zGBApzasL
3,"Cooperation between the Nordic countries is more important than ever.

The Nordic foreign ministers had good talks in Bodø today on the security situation in Europe, multilateral co-operation, the rule of law and democracy and other topics of common interest.

https://t.co/PmpMiydUUU",12,4,Bodø,0.8553,https://t.co/PmpMiydUUU
4,"🇳🇴 A message from #OsloPride.

Everyone at Oslo #Pride is crushed and shocked by the shooting last night outside the London Pub, Oslo’s oldest and the most-loved LGBTI+ venue. Our thoughts are with the family and friends of those who have died, and those who were injured. 1/5 https://t.co/qtgENMY2hB",451,153,Oslo,-0.8074,https://t.co/qtgENMY2hB
5,"Yaw Annor!!

2021/2022 Ghana Premier League Goal King 👏👏 https://t.co/JwD2szCOJa",2511,167,Stavanger,0.0,https://t.co/JwD2szCOJa
6,Home away from home every time ❤️ https://t.co/PJlQ9fCj7p,160,5,Mons,0.0,https://t.co/PJlQ9fCj7p
7,Hide your aunties. https://t.co/V9J61hQxUj,687,4,Oslo,-0.1779,https://t.co/V9J61hQxUj
8,"We stand with all members of the LGBTQIA+ community in Norway today following the terrible news of the attack in Oslo city centre last night 🏳️‍🌈

#alterlove #loveislove #oslove #Pride2022 #londonpub https://t.co/TTqAvr5rJg",333,77,Stange,-0.7351,https://t.co/TTqAvr5rJg
9,So how we dey chop the fathers day nu? https://t.co/M6pLNPFIBB,1461,65,Stavanger,0.0,https://t.co/M6pLNPFIBB
10,"Verify-Sy wins the first prize in the International Fact-Finding Network competition in the category of the most influential report. 🎉🎉🎉

From the Norwegian capital, Oslo, thank you to everyone who voted for us.

#GlobalFact9 https://t.co/NG05OUg4kM",97,16,Oslo,0.9134,https://t.co/NG05OUg4kM
11,To love is a human right ❤️ Our thoughts go to the bereaved and relatives after the night's horrific events in Oslo 🏳️‍🌈💔 https://t.co/1z2uDTp975,522,33,Mons,-0.5106,https://t.co/1z2uDTp975
12,Safaricom really deactivated my line because of 28 cents... https://t.co/4FjoQ9SkB5,36,30,Oslo,0.0,https://t.co/4FjoQ9SkB5
