,text,likes,retweets,city,sentiment_analysis,url
0,Order https://t.co/QUM4XIj0LX,0,0,Central,0.0,https://t.co/QUM4XIj0LX
1,I want a coffee and TO YOU MY LOVE 🤤🥺🫶,0,0,Central,0.7378,
2,@LewisHamilton will cry to @fia naughty boy!!!,0,0,Puerto Presidente Stroessner,-0.6093,
3,"You get the taste of prioritizing yourself and there is no turning back, only good things ahead. ✨✨",0,0,Central,0.1779,
4,The eternal desire to want to stay where it is not 😵 💫,1,0,Asuncion,0.4588,
5,https://t.co/nIa7E02zmd,0,0,Puma Guaica,0.0,https://t.co/nIa7E02zmd
6,@Alerta_News_ Moscow must withdraw from Ukraine and respect the sovereignty of the country @mae_rusia @KremlinRussia_E @KremlinRussia @NATO,0,0,Asuncion,0.4767,
7,"Anyone just already has an iPhone, and I work to eat michi ..",0,0,Asuncion,0.0,
8,@roza_negra99 GOOD MORNING....❤,0,0,Asuncion,0.5622,
9,"The rest, hold on! https://t.co/WeW79tR1Li",0,0,Central,0.0,https://t.co/WeW79tR1Li
10,@jar_araujo The frost did its thing 💔 my aunt joins the #MamonOrganico club let me know when you have fruit Armando 💪 good day.,0,0,Asuncion,0.4404,
11,@lanegrasaucedo @vanev87 In a nutshell nderacore,0,0,Central,0.0,
12,@amombe_ Happy birthday Aye 💕 have a nice day! ✨💖,0,0,Asuncion,0.7777,
13,@LorenitaInsfran HAHAHAHA..WHO...DO YOU KNOW...❤,0,0,Asuncion,0.0,
14,"#FormativeGFC | #Sub16

⏳It's already playing!

 #GuaireñaFC ▪︎Tacuary

📆 Regularization | Date

#TheFaithIntact https://t.co/sXR6UNh8rd",0,0,Villarrica,0.2714,https://t.co/sXR6UNh8rd
15,https://t.co/Vu0LgSoC53,0,0,Asuncion,0.0,https://t.co/Vu0LgSoC53
16,Not really...but at least something good would you have to do for the city that is falling apart...or do you wait until 7th street ends to leave the winner in charge? PACKAGE https://t.co/g1FtRJLYA3,0,0,Central,0.7096,https://t.co/g1FtRJLYA3
17,@retrochenta @Edurmonti your ship,0,0,Asuncion,0.0,
