,text,likes,retweets,city,sentiment_analysis,url
0,@s_saynis congratulations 🎉🎉👏👏,0,0,Somalia,0.5994,
1,@SoomaaliLady 😂 illayn doqoni calaf dulbaax maa ka baylahay 😂,0,0,Somalia,0.0,
2,@SoomaaliLady Kingdom you deserve me ✌🏾✊👍🙏.,0,0,Somalia,0.0,
3,#Security does not improve every day it comes with its own set of reasons why terrorists are thriving in the northeast. ! https://t.co/608ketdHlN,2,0,Somalia,-0.7781,https://t.co/608ketdHlN
4,Ggmu,0,0,Somalia,0.0,
5,"@Kianangih One cement, three sands, six pebbles",0,0,Somalia,0.0,
6,Everyone thinks about changing the world but no one thinks about changing themselves. https://t.co/CWhJhko7zj,5,4,Somalia,-0.4215,https://t.co/CWhJhko7zj
7,Get rid of your fears before you focus on your goals because they may be the cause of your failure. https://t.co/Xwt0tGRrqU,4,3,Somalia,-0.7269,https://t.co/Xwt0tGRrqU
8,"""Class, today we are gonna learn about unicellular organisms as seen under the electron microscope."" https://t.co/L8kC02tKIb",0,0,Somalia,0.0,https://t.co/L8kC02tKIb
9,"Today’s shot at @irisehub. Home of innovation in Somalia. 📸

#iriseimpact https://t.co/hq6mcMMnyd",3,1,Somalia,0.3818,https://t.co/hq6mcMMnyd
10,@SoomaaliLady Good advice for single women. 😄😄😄,0,0,Somalia,0.4404,
11,@EmmanuelMacron Nato will lose,0,0,Somalia,-0.4019,
12,The news is in the car 😂😂 https://t.co/55DsWR5srJ,0,0,Somalia,0.0,https://t.co/55DsWR5srJ
13,Maxine wahome,0,0,Somalia,0.0,
14,@Husseinbadhaani @musebiihi Masha Allah. Congrats brother ... God bless you in this national responsibility,0,0,Somalia,0.8074,
15,May God bless you. Determined people. The nation needed the somali government. The bad politics has led to this issue. https://t.co/TYcr9FSV2J,0,0,Republic Of Somaliland Palace,0.4215,https://t.co/TYcr9FSV2J
16,"Good manners are sometimes born and sometimes they have to be learned and practiced and sometimes they are good people to follow and emulate.

AL GHAZALI 《AHUN》

 Friends of Manunis do we learn first? https://t.co/vdX1nO6PqW",0,0,Somalia,0.836,https://t.co/vdX1nO6PqW
17,Lmao Mathew https://t.co/sR1HR22uu4,0,0,Somalia,0.5994,https://t.co/sR1HR22uu4
18,"Mistakes are one page in human life but relationships are a complete book.

My favorite food is vegetables and a friend who is more knowledgeable, both of which are not common in my region.

Adiguna? https://t.co/txweRdnclj",0,0,Somalia,0.8201,https://t.co/txweRdnclj
19,"She was very old and  tough, she makes sweeming to warm her body 
@somaliwomen
@peoplelovesweamin https://t.co/8pFuVRpUrD",0,0,Somalia,0.0352,https://t.co/8pFuVRpUrD
20,".@DrBeileh could block me on @Twitter back in the day when I had asked him to level the Somali people with the facts about the budgetary discrepancies that would culminate in dissolving an entire parliament subcommittee.

Little did he know about this day. https://t.co/sYyzoDlfjI",12,4,Somalia,-0.4404,https://t.co/sYyzoDlfjI
21,@kcirnejazetrop Do you speak like a fool or not,0,0,Somalia,-0.1027,
22,@Kianangih 1: 3: 6,0,0,Somalia,0.0,
23,"@senigalparties
@kenyaparties https://t.co/b7XKTwGe6B",0,0,Somalia,0.0,https://t.co/b7XKTwGe6B
24,What do you believe about story five? @TheVillaSomalia @ DrSalmaan12 https://t.co/ZoSKxWstmc,0,0,Somalia,0.0,https://t.co/ZoSKxWstmc
25,@SoomaaliLady 😂😂😂,0,0,Somalia,0.0,
26,"Bar Tea party in Garowe, Puntland.
#following # like4like #shared",0,0,Garoowe,0.4019,
27,"It's shame to harm other people without knowing what happening
@NPR @amnesty @doctorsoumya https://t.co/wVsx4gVrhI",0,0,Somalia,-0.765,https://t.co/wVsx4gVrhI
28,"Trade union rights are inalienable human rights. Thank you Minister @AnnLinde and Swedish government for being such staunch and exemplary supporter for workers’ rights and their trade unions, here in #Somalia and around the world. @SwedeninSomalia @OErnerot @ThereseGuovelin @ituc https://t.co/fQBAvNuL6V",1,1,Somalia,0.5574,https://t.co/fQBAvNuL6V
29,#KXHMDSR https://t.co/lUmH3myr7Q,0,0,Republic Of Somaliland Palace,0.0,https://t.co/lUmH3myr7Q
30,"The Ministry of Interior #Puntlnd @M_Dhabancad, has launched the #JPLG Puntland Local Government Development Program Review Conference. https://t.co/ho3RMZRW0Y",1,0,Somalia,0.128,https://t.co/ho3RMZRW0Y
31,@Frebouat @_Barrack__ He almost got me here https://t.co/b4gdBPEsTm,1,0,Somalia,0.0,https://t.co/b4gdBPEsTm
32,Is it posted by https://t.co/azZBwkETmX?,1,0,Somalia,0.0,https://t.co/azZBwkETmX?
33,"The word ""BEHAVIOR"" is Arabic, what does it mean in Somali?",0,0,Somalia,0.0,
34,For whistling like Lilian Ng'ang'a https://t.co/nDvGvljLQA,0,0,Somalia,0.3612,https://t.co/nDvGvljLQA
