,text,likes,retweets,city,sentiment_analysis,url
0,https://t.co/Ggd8Fu3gYl,0,0,Dhaka,0.0,https://t.co/Ggd8Fu3gYl
1,@highschteacher 👙💋💦,0,0,Dhaka,0.0,
2,https://t.co/m8I4eAe5s1,0,0,Dhaka,0.0,https://t.co/m8I4eAe5s1
3,❣️ https://t.co/YlkiKmj3Cz,1,0,Dhaka,0.0,https://t.co/YlkiKmj3Cz
4,নাকিapis_pink Is that so?,0,0,Chittagong,0.0,
5,@TasniyaEva19222 😛🤣🤣,0,0,Chittagong,0.0,
6,Chair Dhip: St. Martin's Island Htpas:,1,0,Dhaka,0.0,
7,"I have to understand myself.
No one will understand, no one will even try to understand.",1,0,Rajshahi,-0.5267,
8,@hariskhansafi33 imran khan❤,0,0,Dhaka,0.0,
9,"I'm a silent man! And once he says goodbye, he won't be able to bring me back even after shouting a hundred times.
Not even to solve the problem. 3",0,0,Dhaka,-0.555,
10,@wakeupfiIthy Nice,0,0,Dhaka,0.4215,
11,https://t.co/GYEeQaJjS4,1,0,Khulna,0.0,https://t.co/GYEeQaJjS4
12,"@ Tanjila32 Hmm you are right.
I'm just being patient.",0,0,Dhaka,0.0,
13,BipashaShorna 🥴🙄🥴🙄🥴🙄🥴🙄Khabo Cha ..,0,0,Khulna,0.0,
14,"#Bangladesh’🇧🇩s PM #SheikhHasina on Saturday celebrated the opening of the country’s longest bridge (#PadmaBridge)

“The bridge belongs to the people of 🇧🇩. It encapsulates our passion, creativity, courage, endurance and perseverance,”
https://t.co/tANJCAwQ6s via @washingtonpost",0,0,Rajshahi,0.91,https://t.co/tANJCAwQ6s
15,Nice afternoon 💙 https://t.co/9gg9hqPXSu,0,0,Khulna,0.4215,https://t.co/9gg9hqPXSu
16,https://t.co/bWvMpjvgOw,0,0,Narayanganj,0.0,https://t.co/bWvMpjvgOw
17,@neymarjr Please Come to #Chelsea,0,0,Dhaka,0.3182,
18,"@ Tanjila32 Agreed
These are the things that happen to me again and again. 3",0,0,Dhaka,0.2732,
19,Nature ....Drone Footage - Bird's Eye View  #voiceofmadhupur #madhupur https://t.co/YRLptn3tud via @YouTube,0,0,Dhaka,0.0,https://t.co/YRLptn3tud
20,@tikadakka @Mustafa_O_Turan @Tika_Turkey @BloodmanBD ✌️,0,0,Cox's Bazar,0.0,
21,"Lots to talk about. 
But  one needs to listen. 🙂 https://t.co/mSTaJwi6XL",0,0,Dhaka,0.0,https://t.co/mSTaJwi6XL
22,"গতি pothiksumon3 The speed of time never stops but people stop and move forward in special places. And if he doesn't come back ..
If not, stay!
Then I will think that the real happiness and peace is in giving up rather than enjoying.",0,0,Dhaka,0.9666,
23,https://t.co/lwWUXNQril,0,0,Sher-e-Bangla National Cricket Stadium,0.0,https://t.co/lwWUXNQril
24,@NilimaNehaa @iammmoni,0,0,Dhaka,0.0,
25,Natural love cannot be forgotten..... https://t.co/9ZkjhTNpnI,0,0,"Mirpur Bangla High School and College , Mirpur 11",0.7717,https://t.co/9ZkjhTNpnI
26,"@MujahidurRahm19 @Abdulla7845
@TANVIRA99577692 Don't miss the chance of becoming one of the early citizens of #MetaflunceCity and join the Lands Public Sale Now! 🚀🚀🚀 https://t.co/Mo5TD3xoOA #metafluence #airdrop #metaverse #nft",1,0,Chittagong,0.2951,https://t.co/Mo5TD3xoOA
27,"𝙲𝚞𝚖𝚒𝚕𝚕𝚊 𝚃𝚛𝚒𝚙- 𝚂𝚘𝚖𝚎 𝚎𝚡𝚝𝚛𝚊𝚘𝚛𝚍𝚒𝚗𝚊𝚛𝚢 𝚖𝚘𝚖𝚎𝚗𝚝𝚜, 𝚜𝚘𝚖𝚎 𝚖𝚎𝚖𝚘𝚛𝚒𝚎𝚜💙

#cumilla #trip #Paradise #designer #vibes #Bangladesh https://t.co/AQG8wd36CJ",0,0,Chittagong,0.0,https://t.co/AQG8wd36CJ
28,Bangladesh train journey. This is the real thrill. https://t.co/LJY5hfWJQz,0,0,Chuadanga Rail Station,0.3612,https://t.co/LJY5hfWJQz
29,Very Nice decoretion or good  picture https://t.co/J7mqXlCWKD,0,0,Dhaka,0.7178,https://t.co/J7mqXlCWKD
30,I love for me,0,0,Dhaka,0.6369,
31,https://t.co/GxpAUho27o,0,0,Dhaka,0.0,https://t.co/GxpAUho27o
32,"I have not seen the liberation war but I have seen people walking on the Padma bridge built at a cost of Rs 40,000 crore 🤣 https://t.co/HFcDVfLvZf",0,0,Chittagong,-0.3506,https://t.co/HFcDVfLvZf
33,"Khalamma paused for a moment, then the Padma bridge would collapse today. We will not go. Khalamma, please don't do such ticking again. https://t.co/YguvtKsRXK",0,0,Chittagong,-0.6324,https://t.co/YguvtKsRXK
34,https://t.co/CKv2lcXMoV,1,0,Dhaka,0.0,https://t.co/CKv2lcXMoV
35,All that is left is to celebrate Basar Raat on the Padma Bridge.🤣 https://t.co/vlac0Ga2nc,0,0,Chittagong,0.5719,https://t.co/vlac0Ga2nc
36,"It feels like the endless land of Bangladesh.

And while enjoying the trip, EA earns a lot. In the G7, the gold market is expected to rise and fall moderately without any news that shakes the market.

By the way, traveling like me is harsh, so it's not suitable for the general public. https://t.co/z2YuefFMHv",0,0,Meherpur,0.6705,https://t.co/z2YuefFMHv
37,@ Madiha 20 Adad m,0,0,Rajshahi,0.0,
38,https://t.co/U4vcUXlIKO,0,0,Chittagong,0.0,https://t.co/U4vcUXlIKO
39,The first person to smoke on the Padma Bridge .. !! Https://t.co/Ebfoh6frlT,0,0,Chittagong,0.0,
40,"Happiness is a matter of the mind! If you understand the mind, You can stay good in all situations....!! https://t.co/7Ilvc4DXSi",1,0,Barisal,0.8164,https://t.co/7Ilvc4DXSi
41,@Dhivyapriyare I want to kiss those 😍,0,0,Rajshahi,0.4767,
42,nis _nishi69 Ami hbo tumar moner mto,0,0,Chittagong,0.0,
43,#nature #sky #water #green #trees #me https://t.co/MPekXIG3qs,2,0,Chittagong,0.0,https://t.co/MPekXIG3qs
44,"Alhamdulillah
I arrived within 2 hours of leaving the car,
The Padma Bridge, built with 42 pillars and 41 spans on the chest of the huge Padma, stood as a witness to history...👍 https://t.co/SjKlMv2LEm",0,0,Narayanganj,0.3182,https://t.co/SjKlMv2LEm
45,@oishi_priya Uffssss joss,0,0,Chittagong,0.0,
46,@mahira2885 @Israkhan121 O baby need your pussy. https://t.co/vmh7JCSP6x,0,0,Mymensingh,0.0,https://t.co/vmh7JCSP6x
47,23/4/2017 https://t.co/5ZZa24paMy,0,0,Dhaka,0.0,https://t.co/5ZZa24paMy
48,@taotao32237723 Most well launch worldwide waiting for watch earning,0,0,Dhaka,0.3384,
49,Natural smile 😊 https://t.co/wKa9G7whlS,0,0,Dhaka,0.6124,https://t.co/wKa9G7whlS
50,"@ Albad 181 @ Hasinasheikh
#Padmabridge #Successors #Done #Bangladesh @ RizvikHuttpsઃ:",0,0,Finlay Square Shopping Mall,0.0,
51,@ 24livenewspaper You're smart. Bangladesh has not even come close to the edge of smart yet.,1,0,Chittagong,0.6597,
52,https://t.co/EVCe5eEFgc,1,0,Chittagong,0.0,https://t.co/EVCe5eEFgc
53,https://t.co/EOCXgO0Z92,1,0,Barisal,0.0,https://t.co/EOCXgO0Z92
54,5/7/2004 https://t.co/PGFKRCt6Ym,0,0,Dhaka,0.0,https://t.co/PGFKRCt6Ym
55,Hi,1,0,Dhaka,0.0,
56,Assalamu Alaikum wa Rahmatullahi wa Barkatuhu. Best wishes and congratulations to all the brothers and friends. Good night May God help us.,0,0,Chittagong,0.9612,
57,@nyd0108 https://t.co/eDWM6ZF6EH,0,0,Mymensingh,0.0,https://t.co/eDWM6ZF6EH
58,😍🥰😍🥰 https://t.co/HOaJhpahzo,0,0,Barisal,0.0,https://t.co/HOaJhpahzo
59,@juhaynatdjebara Lolllll🐍🐍🐍🐍🐍🐍🐍🐍🐍🐍💩💩💩💩💩💩💩snakeu detected https://t.co/6tbwq76P6i,0,0,Pabna,0.0,https://t.co/6tbwq76P6i
60,Me😝 and my😄 best😃friends. https://t.co/pblVSS2Xfe,0,0,Dhaka,0.0,https://t.co/pblVSS2Xfe
61,JAJArabic needs to investigate this incident and take legal action against those responsible.,0,0,Srimangal Train Station,0.4215,
62,Sharmin_Akther_,0,0,Dhaka,0.0,
63,The #BlueSky is a perfect medium for getting back fresh mood☺️☺️ https://t.co/5rb5Ca8KtL,0,0,Barisal,0.7184,https://t.co/5rb5Ca8KtL
64,@Sadia200k @imKeyaPayel Good night too♥️,0,0,Dhaka,0.4404,
65,@NightmarePrjct @MetaJoey @KirilOrlovsky @Seabronftab,0,0,Dhaka,0.0,
66,#TECHDOGE,0,0,Khulna,0.0,
67,@NightmarePrjct @dparnas @docdelta_ @iamsulola,0,0,Dhaka,0.0,
68,"It's been almost 6 months since the communication was cut off! You may be the main character in someone else's story now.💔
 Sometimes when I think of you, I suffer terribly and I ask the Creator why the man did not become mine.💔🌻",0,0,Chittagong,-0.8588,
69,Alhamdulillah. The work of piling is going on in Sapnakutir. https://t.co/T6TcXKPFnU,1,0,Mirpur DOHS Bypass Road,0.0,https://t.co/T6TcXKPFnU
70,@Coredao_Org Most welcome well launching wellrunning worldwide https://t.co/wP48rNC1Qg,0,0,Dhaka,0.688,https://t.co/wP48rNC1Qg
71,@_ZachGriff @united How's ur trip ??,0,0,Dhaka,0.0,
72,ussehussein_rubel is spending so many crores of rupees to build a bridge of * le * whose nut bolt can be removed by hand😐,0,0,Chittagong,0.0,
