,text,likes,retweets,city,sentiment_analysis,url
0,@Dotty_Pan E a colleague complains about the most beautiful apple from the bag when it shakes,1,0,Montenegro,0.3804,
1,@zlogovedo @wintersoldierdj @ Draginja07 Agree.,1,0,Montenegro,0.3612,
2,@HameerHussain Ready to win,0,0,Montenegro,0.743,
3,"My grandparents lived in Kremenchuk for a long time. As a child, I swam to them along the Dnieper on a hydrofoil boat.

This is fucking fucked up, this is your war. https://t.co/p4V7M7FJrT",0,0,Montenegro,-0.8622,https://t.co/p4V7M7FJrT
4,@rain_wind_storm Or if the parents have €€€,0,0,Montenegro,0.0,
5,"I vowed to go into the pro-military media so as not to make my nerves. I could not resist this time.
Again: This is not us! A provocation! Hollywood is working.
Lord, I hope someday I will see a tribunal over the guilty. And I will discuss how voting for Eurovision with friends was given to whom and how much",1,0,Montenegro,0.5242,
6,NP Durmitor https://t.co/Dvl8zSLcOt,0,0,Montenegro,0.4824,https://t.co/Dvl8zSLcOt
7,"Well, how to translate this wonderful play on words blood-love from Old French? La mort / l'amors.
Señor de Sable knew a lot about versification...

(beta, come)",0,0,Montenegro,0.8349,
8,"@UnculturedNFT Xaxaxa, lfgoooooooo!",0,0,Montenegro,0.0,
9,"Grandma, I can't eat anymore, let me go
Baba: https://t.co/XegSb03C9u",8,0,Montenegro,0.0,https://t.co/XegSb03C9u
10,"@VPSCG @radevickatarina Bravo champions, you are all heroes and Dejan Lazović is a miracle man.",2,0,Montenegro,0.8885,
11,@UnculturedNFT Let's kick some asses!,0,0,Montenegro,0.0,
12,"Same team, 3 years in a row 😐 #TDF2022 https://t.co/I4Gpto7S0Z",0,0,Montenegro,0.0,https://t.co/I4Gpto7S0Z
13,"@milelozach Hit, life mi 😂😂",1,0,Montenegro,0.0,
14,Perast https://t.co/mYh8doAk3M,4,0,Montenegro,0.0,https://t.co/mYh8doAk3M
15,"For those who don't know

Furra (alb) - Bakery (cg) 😅 https://t.co/FzqUOQ3j0x",2,0,Montenegro,0.0,https://t.co/FzqUOQ3j0x
16,@ LjiljanaPesic4 Is there anyone in the audience ... some silence in the background😂😂,0,0,Montenegro,0.0,
17,"I love this guy like he's out of my house, he's a good villain, he acts like me 10/10 https://t.co/cX8ktdiNGl",2,0,Montenegro,0.8176,https://t.co/cX8ktdiNGl
18,@gago_galex Betan is it!,0,0,Montenegro,0.0,
19,@winery_Rakcevic Dominated by Goran Djukanović😁,1,0,Montenegro,0.0,
20,"Marko Milačić, who burns flags, teaches ministers not to keep their hands in their pockets. 🤔",4,1,Montenegro,0.0,
21,"@ IvanaGajic13 Here I don't know, I have to think a little… 👀",0,0,Montenegro,0.0,
22,https://t.co/CwVS1qL2aH,0,0,Montenegro,0.0,https://t.co/CwVS1qL2aH
23,"@ TajSam34374750 @aszekovic @Demokratski We were all recognized until the violent seizure of autonomy, and the creation of spc. Where is your tomos, who gave it to you, and when?",0,0,Montenegro,-0.4215,
24,"Since I came from Lyon, do you believe that I can't do without a long dress and 10 kilos of cheese and croissants every morning https://t.co/o7jkDbhheQ",15,0,Montenegro,0.0,https://t.co/o7jkDbhheQ
25,https://t.co/vUozpTgvIu,0,0,Montenegro,0.0,https://t.co/vUozpTgvIu
