,text,likes,retweets,city,sentiment_analysis,url
0,@ aliphi13 Good evening and good morning,0,0,Oberägeri,0.7003,
1,"@bwtms Brussels, bazdmeg Brussels !!!!! 🤣",0,0,Zurich,0.0,
2,GOTT PMH MC DONALDS https://t.co/i5cVtxVzjY,0,0,Winterthur,0.0,https://t.co/i5cVtxVzjY
3,@aliphi13 https://www.aliphi13.com/,0,0,Oberägeri,0.0,https://www.aliphi13.com/
4,"@EugenHani @ruediloeffel No, not in the 🇺🇦, we'd better keep them here.",0,0,Iseltwald,0.1779,
5,@ VasoVasoula76 Good night and sweet dreams.,1,0,Oberägeri,0.8225,
6,@Leenah_tique Either I work out or I go to sleep,0,0,Lausanne,0.0,
7,"@retolipp Cheap staging, a la G&G, took a quick look.
Too bad.
Whose idea was that?",0,0,Iseltwald,-0.5423,
8,Time to play with my Guns. Made in Japan.,0,0,Schönenwerd,0.34,
9,@myweather_ch maybe temperatures in San Francisco are below average? Explanations? Graphic: @meteoblue https://t.co/cetcKBA5I0,0,0,Biberist,0.0,https://t.co/cetcKBA5I0
10,GOD PMH 2 MONTHS IN DETENTION https://t.co/kNEx1k5UfL,0,0,Winterthur,-0.1027,https://t.co/kNEx1k5UfL
11,@ lamprinaki5 Perennial with health and all the best for the future.,0,0,Oberägeri,0.6369,
12,@NatGeo_la take these situations into account before awarding prizes. The #Escazu Agreement has not yet been signed https://t.co/nCmySOIoxx,0,0,Davos,0.8442,https://t.co/nCmySOIoxx
13,@ touztouz7 Nothing.,0,0,Oberägeri,0.0,
14,Cloudfall 😍 https://t.co/ID98rp5vpJ,0,0,Biberist,0.0,https://t.co/ID98rp5vpJ
15,"@svilardyq @NatGeo These situations tear my soul, in the field one meets wonderful people who do everything from their hearts, often with their nails, and everything for their community. But here those who work for a better country, who resolve ""without waiting for the government to do something"", are assassinated",1,0,Davos,0.8481,
16,It was a saint every good villager. There are many in Thailand. #Chatchatsitthiphan #Chatchat #Cancel 112 https://t.co/LsE3MqcVKi,0,0,Saint Gallen,0.4404,https://t.co/LsE3MqcVKi
17,@Lnzlpd Thank you but I will pass.,0,0,Oberägeri,0.1901,
18,@ChrisMyriok Good morning and good Tuesday. https://t.co/xvZJmQvq67,0,0,Oberägeri,0.7003,https://t.co/xvZJmQvq67
19,@avrachim Good morning 🌻😘❤️🌄,0,0,Oberägeri,0.4404,
20,@vickyflechas 😍,0,0,Davos,0.0,
21,LSZH 280250Z AUTO 30003KT 9999 FEW003 SCT019 14/14 Q1023 NOSIG,0,0,Kloten,0.0,
22,good morning ☀️ #streetphotography #fujifilm_xseries https://t.co/XS1QCCpjOw,2,1,Au (SG),0.4404,https://t.co/XS1QCCpjOw
23,"@NurDieZeitung @aruetzel Imagine, journalism also has to make a living from something.",0,0,Bülach,0.0,
24,@sixstreetunder lovely colors😍,0,0,Au (SG),0.5859,
25,"@fdbedout @ComisionVerdadC Creepy! I remember in Cordoba when I was a child there was talk of people being thrown into a place with alligators to get rid of the bodies. There are several alligator farms there... I don't know if that part is true, but there were many disappearances during the 80's and 90's",0,0,Zurich,0.2942,
26,"@Valeria_RamCas I'm so sorry, that shit is a jarta",1,0,Zurich,-0.6813,
27,GOD PMH ALMIGHTY https://t.co/tUZN18zMLD,0,0,Winterthur,0.4278,https://t.co/tUZN18zMLD
28,I join in the plan to make a list of songs around fresh water https://t.co/UufbnekeO7,1,0,Zurich,0.5423,https://t.co/UufbnekeO7
29,⛈ https://t.co/zzx7C296sg,1,0,Cadenazzo,0.0,https://t.co/zzx7C296sg
30,"@agdelv Hello Amanda, I have one for your list, but it is in Spanish. It is about the effects of large-scale & open extraction of mining

https://t.co/KLW5HIvm7H",0,0,Zurich,0.0,https://t.co/KLW5HIvm7H
31,@s_econdtonone Technology is getting shmarteeer😁,0,0,Basel,0.0,
32,"@Jen_Lento @FWBON1 @GEOBON_org @WorldBioForum @SilviaLpezCasa1, she is the researcher that I told you",0,0,Zurich,0.0,
33,GOTT PMH VS LUZIFER https://t.co/95vvpWEOCm,0,0,Winterthur,0.0,https://t.co/95vvpWEOCm
34,"@SilviaLpezCasa1 @WorldBioForum @FWBON1 @svilardyq @CamiloPrietoVal @fdbedout @MantillaIgnacio Here I leave you that great monitoring system, it was cool to see that even she recognizes that everything has holes but also that we accept that it is normal, even having different methodologies https:// t.co/7o9X0arYfI",0,0,Zurich,0.7579,
35,"@SilviaLpezCasa1 @WorldBioForum @FWBON1 @svilardyq @CamiloPrietoVal @fdbedout @MantillaIgnacio There have been some tough talks calling for self-criticism, to better communicate science to and with society, and above all a call to action",1,0,Zurich,0.34,
36,"@SilviaLpezCasa1 @WorldBioForum @FWBON1 @svilardyq @CamiloPrietoVal @fdbedout @MantillaIgnacio A colleague Jen Lento from Canada who leads super large-scale, long-term Arctic Circle monitoring said: there is no monitoring with fully standardized protocols, without gaps in data, fully consistent",0,0,Zurich,0.4019,
37,"@coralinecesca Wooooooow, looks pretty heavy👍",0,0,Itingen,0.4939,
38,"@SilviaLpezCasa1 @WorldBioForum @FWBON1 @svilardyq @CamiloPrietoVal @fdbedout @MantillaIgnacio Yes, there are in Colombia (eg SIPEIN, SEPEC, Ren hidrometeorologica, REDCAM, BsT, SByC, SIMAC, among others. But beyond the monitoring, how many plans, diagnoses, guidelines, we have in the country and not only in Colombia, but also many international ones.",0,0,Zurich,0.2144,
39,GOTT PMH https://t.co/TYmHoO5haY,0,0,Winterthur,0.0,https://t.co/TYmHoO5haY
40,@cute_milfs 🥰,6,0,Schafisheim,0.0,
41,@DerPoppe https://t.co/6RyABo8xr8,0,0,Zurich,0.0,https://t.co/6RyABo8xr8
42,GOTT PMH https://t.co/97eFOvILgc,0,0,Winterthur,0.0,https://t.co/97eFOvILgc
43,@dirk_adam @DerPoppe mammography center there?,0,0,Zurich,0.0,
44,🤗🤗 https://t.co/r9J5xjsqgp,0,0,Lugano,0.0,https://t.co/r9J5xjsqgp
45,GOTT PMH https://t.co/uE3tfo8tOb,0,0,Winterthur,0.0,https://t.co/uE3tfo8tOb
46,@JavierMauTo @AdrianaLucia 41 lol,0,0,Zurich,0.4215,
47,GOTT PMH https://t.co/8PdBMQUrtn,0,0,Winterthur,0.0,https://t.co/8PdBMQUrtn
48,"@ZStadtfux @PeterBa84734077 We rigians love zurich too, but antennaed here, that's enough. the rigi bahn does not transport bikes, only permitted in exceptional cases, rigi residents.",0,0,Lucerne,0.3818,
49,GOD PMH SHOWER https://t.co/gVFzlrp2Mr,0,0,Winterthur,0.4278,https://t.co/gVFzlrp2Mr
50,https://t.co/eka1QCQiOs,0,0,Marly,0.0,https://t.co/eka1QCQiOs
